baby products retailer	0	1
baby products retailer	0	9
beauty retailer	0	3
cell phones retailer	2	1
cell phones retailer	2	2
cell phones retailer	3	8
cell phones retailer	7	5
clothing & accessories retailer	0	8
clothing & accessories retailer	2	9
clothing & accessories retailer	5	1
clothing & accessories retailer	5	7
electronics retailer	0	5
electronics retailer	4	3
electronics retailer	9	4
fashion jewelry retailer	9	5
health & personal care retailer	5	9
health & personal care retailer	9	7
cell phones retailer	5	0
cell phones retailer	5	1
cell phones retailer	5	2
cell phones retailer	5	3
cell phones retailer	5	7
cell phones retailer	5	9
home & garden retailer	0	2
home & garden retailer	0	3
home & garden retailer	0	6
home & garden retailer	0	7
home & garden retailer	0	8
home & garden retailer	1	0
home & garden retailer	1	1
home & garden retailer	1	2
home & garden retailer	1	3
home & garden retailer	1	4
home & garden retailer	1	5
home & garden retailer	1	7
home & garden retailer	1	9
home & garden retailer	2	1
home & garden retailer	2	2
home & garden retailer	2	3
home & garden retailer	2	5
home & garden retailer	2	6
home & garden retailer	2	7
home & garden retailer	3	0
home & garden retailer	3	1
home & garden retailer	3	4
home & garden retailer	3	7
home & garden retailer	3	9
home & garden retailer	4	2
home & garden retailer	4	3
home & garden retailer	4	6
home & garden retailer	4	7
home & garden retailer	4	8
home & garden retailer	4	9
home & garden retailer	5	1
home & garden retailer	5	2
home & garden retailer	5	3
home & garden retailer	5	5
home & garden retailer	5	6
home & garden retailer	5	7
home & garden retailer	5	8
home & garden retailer	5	9
home & garden retailer	6	0
home & garden retailer	6	1
home & garden retailer	6	2
home & garden retailer	6	3
home & garden retailer	6	4
home & garden retailer	6	6
home & garden retailer	6	7
home & garden retailer	6	8
home & garden retailer	6	9
home & garden retailer	7	4
home & garden retailer	7	5
home & garden retailer	7	7
home & garden retailer	7	9
home & garden retailer	8	0
home & garden retailer	8	1
home & garden retailer	8	2
home & garden retailer	8	3
home & garden retailer	8	7
home & garden retailer	8	8
home & garden retailer	9	0
home & garden retailer	9	6
home & garden retailer	9	7
home & garden retailer	9	8
